Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,ShrinkWord,The following statement contains a magic number: UIView.Animate(0.6' 0' UIViewAnimationOptions.TransitionCurlUp'                  () =>{                  _word.Transform = transform;                       _title.TextColor = "3C3C3C".ToUIColor();              }'() =>{                  _word.Font = UIFont.FromName("Raleway-Regular"' 32);              });
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidAppear,The following statement contains a magic number: _answerView = new AnswerView(new CGRect(0' 180' View.Bounds.Width' 220)) {Hidden = true};
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidAppear,The following statement contains a magic number: _answerView = new AnswerView(new CGRect(0' 180' View.Bounds.Width' 220)) {Hidden = true};
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidLoad,The following statement contains a magic number: _countdownTimer = new Timer {Interval = 1000};
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidLoad,The following statement contains a magic number: btnSkipTimer.Font = UIFont.FromName("Raleway-SemiBold"' 32);
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidLoad,The following statement contains a magic number: var backButton = new UIButton(UIButtonType.RoundedRect) {Font = UIFont.FromName("Raleway-SemiBold"' 18)};
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidLoad,The following statement contains a magic number: backButton.Frame = new CGRect(0' 20' 80' 40);
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidLoad,The following statement contains a magic number: backButton.Frame = new CGRect(0' 20' 80' 40);
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,ViewDidLoad,The following statement contains a magic number: backButton.Frame = new CGRect(0' 20' 80' 40);
Magic Number,Spelling.Core.Views.Screens,Learn_Vocabulary,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Screens\Learn_Vocabulary.cs,RefreshWordViews,The following statement contains a magic number: _nativeWord = new WordView(new CGRect(0' 0' View.Bounds.Width' 30)' languagePack.NativeLanguage'                      languagePack.SelectedWord.Native);
