Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The length of the statement  "	XLinearGradientBrush brush = new XLinearGradientBrush (rect' this.backColor' this.backColor2' XLinearGradientMode.Vertical); " is 124.
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 90' 240' 90);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 90' 240' 90);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: pen = new XPen (XColors.Goldenrod' 10);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 110' 240' 110);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: pen = new XPen (XColors.Goldenrod' 10);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 130' 240' 130);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawBezier,The following statement contains a magic number: gfx.DrawBezier (new XPen (XColors.DarkRed' 5)' 20' 110' 40' 10' 170' 90' 230' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawArc,The following statement contains a magic number: gfx.DrawArc (pen' 0' 0' 250' 140' 190' 200);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawArc,The following statement contains a magic number: gfx.DrawArc (pen' 0' 0' 250' 140' 190' 200);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawArc,The following statement contains a magic number: gfx.DrawArc (pen' 0' 0' 250' 140' 190' 200);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawArc,The following statement contains a magic number: gfx.DrawArc (pen' 0' 0' 250' 140' 190' 200);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPage,The following statement contains a magic number: DrawPathClosed (gfx' 2);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPage,The following statement contains a magic number: DrawPathAlternateAndWinding (gfx' 3);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPage,The following statement contains a magic number: DrawGlyphs (gfx' 5);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPage,The following statement contains a magic number: DrawClipPath (gfx' 6);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathOpen,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (10' 120' 50' 60);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddArc (50' 20' 110' 80' 180' 180);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathClosed,The following statement contains a magic number: path.AddLine (160' 60' 220' 100);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (10' 130' 10' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (10' 130' 10' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (10' 130' 10' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (10' 130' 10' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddBeziers (new XPoint[] {  	new XPoint (10' 40)'  	new XPoint (30' 0)'  	new XPoint (40' 20)'  	new XPoint (60' 40)'  	new XPoint (80' 60)'  	new XPoint (100' 60)'  	new XPoint (120' 40)  });  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (120' 40' 120' 130);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (120' 40' 120' 130);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (120' 40' 120' 130);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (120' 40' 120' 130);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddEllipse (40' 80' 50' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddEllipse (40' 80' 50' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddEllipse (40' 80' 50' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddEllipse (40' 80' 50' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (130' 130' 130' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (130' 130' 130' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (130' 130' 130' 40);  
Magic Number,Graphics,Paths,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Paths.cs,DrawPathAlternateAndWinding,The following statement contains a magic number: path.AddLine (130' 130' 130' 40);  
