Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Microsoft.Azure.HDInsight.Job.Models,ApplicationStateEnumExtension,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\ApplicationState.cs,ToSerializedValue,Cyclomatic complexity of the method is 9
Complex Method,Microsoft.Azure.HDInsight.Job.Models,ApplicationStateEnumExtension,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\ApplicationState.cs,ParseApplicationState,Cyclomatic complexity of the method is 9
Long Parameter List,Microsoft.Azure.HDInsight.Job.Models,JobDetailRootJsonObject,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\JobDetailRootJsonObject.cs,JobDetailRootJsonObject,The method has 11 parameters. Parameters: callback' completed' exitValue' id' msg' parentId' percentComplete' profile' status' user' userargs
Long Parameter List,Microsoft.Azure.HDInsight.Job.Models,Profile,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\Profile.cs,Profile,The method has 7 parameters. Parameters: jobFile' jobId' jobID' jobName' queueName' url' user
Long Parameter List,Microsoft.Azure.HDInsight.Job.Models,Status,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\Status.cs,Status,The method has 29 parameters. Parameters: cleanupProgress' failureInfo' finishTime' historyFile' jobACLs' jobComplete' jobFile' jobId' jobID' jobName' jobPriority' mapProgress' neededMem' numReservedSlots' numUsedSlots' priority' queue' reduceProgress' reservedMem' retired' runState' schedulingInfo' setupProgress' startTime' state' trackingUrl' uber' usedMem' username
Long Parameter List,Microsoft.Azure.HDInsight.Job.Models,Userargs,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\Userargs.cs,Userargs,The method has 9 parameters. Parameters: arg' callback' define' enablelog' execute' file' files' jar' statusdir
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitHiveJobWithHttpMessagesAsync,The length of the statement  "                return await SubmitHiveJobWithHttpMessagesAsync(requestContents' customHeaders' cancellationToken).ConfigureAwait(false); " is 121.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceJobWithHttpMessagesAsync,The length of the statement  "                return await SubmitMapReduceJobWithHttpMessagesAsync(requestContents' customHeaders' cancellationToken).ConfigureAwait(false); " is 126.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceStreamingJobWithHttpMessagesAsync,The length of the statement  "                return await SubmitMapReduceStreamingJobWithHttpMessagesAsync(requestContents' customHeaders' cancellationToken).ConfigureAwait(false); " is 135.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitPigJobWithHttpMessagesAsync,The length of the statement  "                return await SubmitPigJobWithHttpMessagesAsync(requestContents' customHeaders' cancellationToken).ConfigureAwait(false); " is 120.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitSqoopJobWithHttpMessagesAsync,The length of the statement  "                return await SubmitSqoopJobWithHttpMessagesAsync(requestContents' customHeaders' cancellationToken).ConfigureAwait(false); " is 122.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,WaitForJobCompletionWithHttpMessagesAsync,The length of the statement  "                    if (appState == ApplicationState.FINISHED || appState == ApplicationState.FAILED || appState == ApplicationState.KILLED) " is 120.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,WaitForJobCompletionWithHttpMessagesAsync,The length of the statement  "                throw new TimeoutException(string.Format(CultureInfo.InvariantCulture' "The requested task failed to complete in the allotted time ({0})"' duration)); " is 150.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetJobStatusDirectory,The length of the statement  "                throw new CloudException(string.Format("Job {0} was not created with a status folder and therefore no logs were saved."' jobDetail.Id)); " is 136.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetWithHttpMessagesAsync,The length of the statement  "                var ex = new JobOperationsErrorResponseException(string.Format("Operation returned an invalid status code '{0}'"' _statusCode)); " is 128.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetWithHttpMessagesAsync,The length of the statement  "                    JobOperationsErrorResponse _errorBody =  Rest.Serialization.SafeJsonConvert.DeserializeObject<JobOperationsErrorResponse>(_responseContent' Client.DeserializationSettings); " is 172.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetWithHttpMessagesAsync,The length of the statement  "                    _result.Body = Rest.Serialization.SafeJsonConvert.DeserializeObject<JobDetailRootJsonObject>(_responseContent' Client.DeserializationSettings); " is 143.
Long Statement,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,KillWithHttpMessagesAsync,The length of the statement  "                var ex = new JobOperationsErrorResponseException(string.Format("Operation returned an invalid status code '{0}'"' _statusCode)); " is 128.
