Project,Cyclic Dependency,Unstable Dependency,Ambiguous Interface,God Component,Feature Concentration,Scattered Functionality,Dense Structure,Imperative Abstraction,Unnecessary Abstraction,Multifaceted Abstraction,Unutilized Abstraction,Duplicate Abstraction,Deficient Encapsulation,Unexloited Encapsulation,Broken Modularization,Insufficient Modularization,Hub-like Modularization,Cyclically-dependent Modularization,Wide Hierarchy,Deep Hierarchy,Multipath Hierarchy,Cyclic Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Missing Hierarchy,Broken Hierarchy,Long Method,Complex Method,Long Parameter List,Long Identifier,Long Statement,Complex Conditional,Virtual Method Call from Constructor,Empty Catch Block,Magic Number,Duplicate Code,Missing Default,LOC
Discover-_SAI-Editor,2,4,0,1,5,2,1,1,10,1,8,6,10,0,6,15,0,1,0,0,0,0,1,0,0,3,21,54,6,3,539,5,3,6,2776,1,62,21150
diydrones_MissionPlanner,67,33,2,15,30,10,1,85,145,6,235,359,290,48,64,138,3,231,12,0,5,22,26,171,33,76,211,678,310,7,2609,212,2,471,24735,25,101,276758
djmc_SimpleOAuth.Net,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,0,0,688
dkackman_DynamicRestProxy,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,6,0,0,0,0,0,0,882
dkackman_LinqStatistics,0,0,0,0,3,0,0,0,0,0,9,102,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,478,0,0,27768
dkackman_SqlLinq,0,2,1,0,4,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,1,1,0,0,8,0,3,0,0,22,0,0,0,23,0,2,2632
dnauck_AspSQLProvider,0,0,0,0,0,0,0,0,1,0,4,40,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,25,8,2,89,0,0,0,523,0,0,2952
dnewcome_Node.net,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,446
dnnsoftware_Dnn.Platform,401,103,4,12,86,107,1,125,311,3,513,528,37,6,144,240,13,79,20,0,2,4,46,153,6,65,78,677,827,30,4008,124,3,110,2641,1,213,295837
doblak_ndtw,0,0,0,0,1,0,0,1,3,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,16,3,0,0,5988,0,0,7741
dobrou_CsvLINQPadDriver,0,4,1,0,1,0,0,0,6,0,5,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,36,0,0,0,5,0,0,1602
dockpanelsuite_dockpanelsuite,0,2,2,1,12,0,0,26,29,1,77,30,1,2,13,21,0,55,0,0,0,0,2,6,0,17,8,74,22,0,322,11,0,0,1692,0,21,40476
docopt_docopt.net,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,176
docusign_DocuSign-.NET-Client,0,0,0,2,1,0,0,0,0,0,0,983,4,0,0,58,0,1,1,0,0,16,0,96,0,0,13,489,260,94,2232,0,0,0,12038,0,0,123360
docusign_DocuSign-eSignature-SDK,0,0,0,3,1,0,0,0,33,1,75,107,29,0,45,11,0,0,0,0,0,0,0,1,0,7,1,4,20,2,172,3,0,0,21,0,1,32739
dogvane_DogSE,5,9,2,0,21,0,0,12,70,6,114,172,63,0,15,55,0,70,0,0,0,2,0,9,5,4,10,49,155,0,400,6,0,1,1066,0,8,62792
dontangg_nocco,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,334
DorCoMaNdO_ModBot,0,0,0,0,0,0,0,0,0,0,14,2,14,0,0,0,0,2,0,0,0,0,0,0,0,0,6,27,3,0,158,11,0,12,1415,0,0,5205
dotless_dotless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,47
dotMorten_NmeaParser,0,0,0,0,4,0,0,0,11,0,21,10,0,0,0,0,0,0,3,0,0,0,3,15,0,0,0,14,2,0,22,0,0,7,504,0,0,7338
dotnet_corefxlab,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,179
dotnet_orleans,19,29,0,6,27,10,0,20,101,3,134,10,37,8,12,43,2,102,3,0,3,3,14,11,10,27,10,153,198,30,2028,19,1,44,705,0,19,95782
DotNetAnalyzers_DotNetAnalyzers,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,104
DotNetAnalyzers_StyleCopAnalyzers,0,6,1,3,15,0,0,64,3,2,258,60,0,0,3,3,0,1,0,0,0,0,16,1,0,0,3,136,30,15,730,17,0,3,121,0,25,35901
DotNetAnalyzers_TSqlAnalyzer,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,250
DotNetOpenAuth_DotNetOpenAuth,23,44,1,5,32,3,0,61,128,5,150,78,170,17,31,71,4,446,9,7,6,28,26,57,3,81,52,415,190,28,1477,83,4,29,3178,1,102,158145
DotNetOpenAuth_DotNetOpenAuth.Samples,0,0,0,0,2,0,0,4,4,3,25,15,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,4,1,1,33,0,0,0,27,0,1,4431
dougrathbone_Ga.net,0,0,0,0,0,0,0,1,1,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,565
Doxense_foundationdb-dotnet-client,9,10,0,1,3,2,1,5,24,2,63,100,12,0,5,80,0,98,2,0,6,8,11,6,4,9,16,133,168,0,734,20,0,8,2194,0,40,65907
dpiessens_specbind,1,4,0,0,8,1,1,5,21,0,31,3,0,0,7,1,0,14,1,0,0,0,6,1,1,2,3,23,19,0,138,1,0,10,47,0,6,14405
dradovic_MigSharp,0,6,0,3,5,2,1,5,27,0,66,1,0,0,4,9,0,1,4,0,0,0,9,2,1,21,2,26,21,6,505,5,0,0,282,0,0,14946
Dreamcooled_sjupdater,2,3,1,1,5,0,0,5,18,0,45,1,8,1,3,1,0,6,1,0,0,1,1,0,0,12,3,17,3,2,54,3,0,11,108,0,5,7766
dreamins_Route53DDNS,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,7,0,0,0,175,0,0,1550
Dresel_RouteLocalization,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,12,2,62,0,0,0,2,0,2,2017
DropNet_DropNet,1,1,0,0,2,0,0,0,20,0,18,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,67,0,17,0,0,0,38,0,2,5158
DropNet_DropNetRT,0,0,0,0,1,0,0,0,11,0,5,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,8,0,6,0,0,0,8,0,1,1735
dsuarezv_mavlink.net,0,0,0,1,0,0,0,1,11,0,48,156,16,0,1,3,1,68,1,0,0,0,2,2,0,0,23,8,3,0,271,0,0,1,6369,0,1,43374
dtinteractive_Topshelf.Integrations,0,0,0,0,3,0,0,0,2,0,18,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,6,0,0,783
dtretyakov_node-tools,6,9,0,3,7,1,0,11,34,0,96,41,6,6,22,38,1,123,1,0,0,3,14,5,4,30,7,148,147,12,881,44,4,22,208,0,76,65921
dubeaud_bugnet,5,7,1,5,19,3,0,36,32,3,143,259,9,7,33,42,0,18,9,0,0,50,6,144,0,32,36,243,72,1,1073,15,0,41,5804,0,48,116194
ducakar_TextureReplacer,0,0,0,0,0,0,0,0,0,0,4,4,11,0,0,1,0,0,0,0,0,0,0,0,0,0,4,12,0,0,15,3,0,2,107,0,2,2197
dukus_digiCamControl,22,14,1,5,25,3,1,19,123,6,253,66,42,0,25,48,0,37,6,0,0,2,23,32,0,55,25,189,41,3,644,29,2,91,5266,1,80,85074
DuncanButler_SpecSalad,0,0,0,0,4,0,0,0,30,0,45,8,0,2,1,1,0,0,3,0,0,0,0,3,0,4,0,0,0,0,121,1,0,0,5,0,0,2947
dupdob_RAFTiNG,1,1,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,17,0,0,1589
duplicati_duplicati,7,13,0,4,11,5,0,26,74,1,112,106,23,5,38,31,0,15,8,0,23,2,4,25,0,35,31,257,102,1,1140,30,0,237,1872,0,11,62960
DustinCampbell_CSharpEssentials,0,0,0,0,0,0,0,3,3,0,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0,43,1,0,0,9,0,4,893
dwmkerr_consolecontrol,0,0,0,0,0,0,0,0,5,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,2,0,0,127,0,0,2146
dwmkerr_sharpgl,2,10,1,1,5,0,0,15,48,2,62,15,26,0,7,9,1,2,1,0,0,0,9,7,3,2,15,40,216,0,202,6,6,1,2002,0,7,43512
dwmkerr_sharpshell,1,10,0,1,4,3,0,9,38,3,42,4,62,1,29,9,0,16,0,0,0,0,8,5,5,1,9,44,89,0,277,7,1,7,795,0,8,33744
dylanmei_linqpad-soap-driver,0,0,0,0,0,0,0,0,7,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,5,0,0,820
Dynalon_JsonConfig,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,8,0,0,615
DynamicTyped_MdxClient,0,0,0,0,0,0,0,1,3,0,2,0,0,0,1,4,0,8,0,0,0,0,4,0,0,0,0,3,2,0,13,0,0,0,9,0,0,2113
DynamoDS_Dynamo,0,0,0,0,0,0,0,1,7,1,6,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,14,4,0,35,3,0,2,80,0,4,3891
dzharii_SWD.Starter,0,0,0,0,0,0,0,0,1,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,1,5,0,0,533
Early-Modern-OCR_FrankenPlus,0,1,0,0,0,0,0,2,1,0,1,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,7,13,5,0,76,2,0,3,811,0,3,4792
EasyFarm_EasyFarm,0,6,0,1,4,2,1,1,8,0,21,12,11,0,7,0,0,0,2,0,0,1,2,4,0,1,0,6,0,1,16,1,0,0,62,0,0,8375
EddieGarmon_Simple.Owin,0,4,0,0,4,0,0,4,14,0,37,10,0,0,14,0,0,0,0,0,0,0,4,0,0,4,0,22,4,0,18,0,0,0,72,0,4,9235
EdenRidgway_nDumbster,1,2,1,0,2,0,0,8,0,0,9,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,19,1,1,16,1,0,1,219,0,1,5803
EgorBo_Xamaridea,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,294
EHVAG_demoinfo,8,3,0,1,1,1,0,5,21,0,19,1,14,0,6,4,0,3,0,0,0,0,1,3,0,0,2,26,0,0,30,2,0,0,789,0,5,6293
einaregilsson_ChordImageGenerator,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,66,0,0,437
einaregilsson_InjectModuleInitializer,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,9,0,0,0,9,0,0,537
einaregilsson_InsertIcons,0,0,0,0,0,0,0,2,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,14,0,6,4,0,0,205,0,3,3645
ejholmes_uTorrent-Notifier,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,0,29,1,0,0,343,0,0,3232
elbandit_PPPDDD,0,6,0,0,20,1,0,1,107,0,151,32,2,0,14,0,0,1,1,0,0,0,8,0,0,0,0,6,50,2,56,1,0,0,101,0,0,10342
ElijahGlover_Umbraco-S3-Provider,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,527
elmahio_elmah.io,0,0,0,0,0,0,0,0,2,0,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,0,0,1,3,0,0,1355
elw00d_consoleframework,9,4,0,2,1,3,0,9,12,0,5,6,32,0,8,12,0,5,1,0,0,1,0,0,0,6,8,50,19,1,91,6,1,0,543,0,10,14249
emiliotorrens_MongoMapper.NET,1,2,0,0,3,0,0,1,26,0,13,1,8,0,7,2,0,2,0,0,0,0,1,0,0,0,0,8,1,1,54,1,0,1,26,0,0,3300
emmettnicholas_StacMan,0,0,0,1,0,0,0,0,15,0,67,32,0,0,27,3,0,1,1,0,0,0,0,4,0,0,0,2,219,0,41,0,0,0,6,0,0,7737
EmptyKeys_UI_Examples,0,0,0,0,1,0,0,4,7,0,31,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,4,4,12,37,16,0,0,876,0,0,12368
EmptyKeys_UI_Generator,13,4,0,1,4,0,0,2,6,0,13,0,2,0,1,3,0,2,1,0,0,0,0,3,0,1,2,17,46,0,218,5,0,0,14,0,0,8909
emreeren_SambaPOS-3,33,42,4,8,68,13,1,31,138,3,235,22,143,3,70,67,3,36,18,0,0,1,40,21,3,142,26,165,176,20,1041,61,1,33,1773,0,32,123729
Emudofus_BehaviorIsManaged,162,73,6,24,72,22,1,49,231,9,453,159,1122,28,108,115,1,117,28,0,6,16,148,112,18,34,30,411,373,28,2068,56,4,9,2355,4,111,260437
encog_encog-dotnet-core,66,63,2,0,27,11,1,33,40,2,46,83,71,10,7,27,2,40,13,0,0,2,112,49,3,40,21,180,95,1,215,6,0,2,1853,0,18,98423
endjin_Endjin.Retry,0,1,0,0,0,1,0,1,0,0,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,22,0,25,0,0,1,10,0,0,1040
eneifert_ZenDeskApi,0,0,1,0,1,0,0,2,7,0,25,2,0,0,12,3,0,0,0,0,0,0,0,0,0,0,2,3,6,0,6,0,0,5,2,0,1,2411
enohka_moddingSuite,11,11,1,1,8,0,0,12,13,0,57,8,16,0,15,3,0,18,2,0,0,0,16,2,0,38,20,53,23,0,41,4,3,0,2631,0,11,13993
erezak_libphonenumber-csharp,0,0,0,1,0,0,0,0,1,2,8,7,0,0,1,3,0,5,0,0,0,0,0,0,0,0,1,17,4,6,73,5,0,6,15,0,0,8178
ericdc1_Dapper.SimpleCRUD,0,0,0,0,2,0,0,0,12,0,16,5,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,15,13,0,49,5,0,0,24,0,0,2401
EricFreeman_UnityEventAggregator,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110
erichexter_Should,0,2,0,2,3,0,0,0,7,0,58,0,4,0,0,10,0,2,1,0,0,0,2,1,0,3,0,1,0,0,33,2,0,2,50,0,0,6031
erik-kallen_SaltarelleCompiler,0,0,0,1,3,0,0,1,29,0,22,0,0,0,1,15,0,8,0,0,0,0,0,0,0,0,7,36,14,1,304,19,0,0,42,0,6,6284
ErikSchierboom_JsonDotNetCustomContractResolvers,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,393
eriksvedang_Grimm,0,0,0,1,0,0,0,2,0,0,3,0,4,5,0,5,0,9,1,0,0,0,0,2,0,0,0,7,0,1,75,0,0,0,37,0,0,3113
erizet_EventSource4Net,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,468
EslaMx7_ScreenTask,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,10,0,0,3,164,0,0,923
Esri_arcgis-osm-editor,0,0,0,4,2,0,0,4,66,4,70,326,5,0,60,32,0,131,0,0,0,0,0,0,23,1,120,274,153,333,1676,0,0,231,3379,38,6,65928
Esri_arcgis-runtime-samples-dotnet,0,0,2,0,0,0,0,11,16,0,64,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,55,2,0,6,55,0,4,6090
Esri_arcgis-toolkit-dotnet,3,3,0,0,7,0,0,13,1,0,96,12,0,0,0,6,0,15,0,0,0,9,0,0,0,0,0,40,0,3,143,11,0,20,145,0,9,20332
Esri_arcgis-toolkit-sl-wpf,2,2,0,1,4,0,0,16,4,1,41,57,1,0,3,19,0,2,0,0,0,2,1,0,2,0,17,86,14,2,282,72,0,21,690,2,11,43553
Esri_developer-support,0,0,0,0,0,0,0,0,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,0,0,0,13,0,1,1305
Esri_geoportal-server,0,0,0,0,2,0,0,6,0,0,9,14,7,0,11,4,0,3,0,0,0,0,0,0,0,3,7,35,4,0,93,3,0,13,111,0,3,13394
Esri_joint-military-symbology-xml,0,0,0,1,0,0,0,4,8,0,2,58,2,1,12,6,0,49,0,0,0,0,2,0,0,1,6,56,54,0,127,16,0,0,702,0,25,13458
Esri_local-government-desktop-addins,0,0,0,6,2,0,0,20,20,0,287,742,24,0,16,40,0,6,0,0,0,0,24,0,0,0,172,370,156,26,3190,74,0,362,15808,192,18,128318
Esri_route-planner-csharp,60,16,0,7,10,7,1,79,52,0,147,151,14,6,27,60,2,72,9,0,3,0,13,130,8,37,11,183,39,27,795,51,1,47,536,0,15,118991
esskar_Serialize.Linq,3,6,0,3,8,3,0,13,11,0,39,8,0,0,2,1,0,0,3,0,0,0,0,4,0,4,0,10,12,0,123,2,0,0,36,0,1,13932
eStream_eStreamChat,0,0,0,0,1,0,0,0,3,0,10,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,310
eswann_ClearScript.Manager,0,2,0,0,2,0,0,0,4,0,16,4,2,0,3,3,0,2,0,0,0,0,0,0,0,1,0,5,14,0,17,0,0,0,13,0,0,3354
eswann_Mapster,1,2,0,0,3,0,0,1,10,0,9,0,6,0,5,2,0,22,0,0,0,0,1,0,0,1,0,5,1,0,49,2,0,1,21,0,1,3483
et1337_Lemma,11,11,3,8,4,4,0,8,21,1,32,16,20,7,7,64,5,104,4,0,0,89,10,4,3,63,17,183,75,8,539,40,0,5,958,0,29,51138
ethanmoffat_EndlessClient,0,9,1,2,12,12,1,2,73,0,63,12,1,0,20,9,0,1,1,0,1,0,11,1,1,7,4,35,28,7,172,6,0,0,881,0,10,18489
ethomson_infinity.net,0,1,0,1,1,1,0,0,29,0,5,0,0,0,22,2,0,1,0,0,0,0,0,0,0,0,0,5,7,0,11,0,0,0,62,0,0,4092
etishor_Metrics.NET,0,6,1,0,6,0,1,9,9,0,33,5,2,0,1,3,0,4,1,0,2,0,8,1,0,0,0,5,63,0,141,0,0,5,119,0,3,10907
evanwon_WPFCustomMessageBox,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,5,0,0,0,0,0,0,600
evemuproject_evemu_control_panel,0,0,0,0,0,0,0,2,2,0,1,10,7,0,0,2,0,5,0,0,0,0,0,0,0,0,8,12,2,0,155,3,0,0,1907,0,9,7757
evemuproject_evemu_server,11,16,2,8,13,2,1,80,106,27,69,143,32,4,45,41,3,244,4,0,0,3,4,23,3,30,82,181,41,19,1351,25,1,0,9782,2,37,129886
EventDay_Infusionsoft.net,0,1,0,2,2,0,0,0,26,0,62,0,0,0,37,5,0,0,4,0,0,0,1,10,0,51,0,4,88,0,64,4,0,0,4,0,0,8114
EventStore_buffer-manager,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,666
EventStore_EventStore,11,47,2,9,35,26,1,27,134,0,186,81,63,14,38,61,0,86,10,0,32,10,40,59,2,15,8,198,434,59,2022,48,7,27,988,0,13,94435
EventStore_Sklaida,0,0,0,0,1,0,0,0,2,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,5,0,0,642
evernote_evernote-sdk-csharp,0,1,0,4,8,0,0,0,6,0,59,412,102,0,2,18,0,0,1,0,0,0,4,64,0,0,56,142,4,0,10,0,0,0,2834,0,2,94354
ExactTargetDev_kafka-net,1,5,0,1,10,3,1,2,4,0,35,5,2,1,1,8,0,16,0,0,0,8,13,0,0,0,0,18,30,0,145,2,1,6,205,0,2,12202
Excel-DNA_IntelliSense,0,0,0,1,0,0,0,6,3,0,5,1,8,0,0,2,0,0,0,0,0,0,4,0,0,0,0,11,6,0,23,2,0,0,62,0,0,3996
exceptionless_Exceptionless,0,14,2,2,12,6,0,7,46,0,131,2,0,0,14,5,0,11,3,0,0,0,4,3,0,10,3,34,64,5,334,7,0,18,944,0,7,17753
Faark_KspLoadOnDemand,0,0,0,0,2,3,0,4,1,0,21,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,67,0,0,0,84,0,0,4102
facebook-csharp-sdk_facebook-csharp-sdk,0,0,0,0,4,0,0,7,0,5,50,35,0,0,0,49,0,35,0,0,0,0,7,7,7,0,40,145,60,0,531,61,0,5,1930,0,19,48852
facebook-csharp-sdk_simple-json,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,34,0,50,0,0,0,0,0,0,0,0,11,70,0,0,281,54,0,0,1706,0,20,17885
falahati_NiVirtualCam,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,33,7,0,5,295,0,2,1284
FamilySearch_gedcomx-csharp,36,15,1,1,9,2,1,7,81,7,30,5,2,0,15,34,2,129,5,0,2,1,3,37,0,112,2,35,48,0,233,5,6,3,111,0,0,37256
Fatalis_sourcesplit,1,1,0,0,0,0,0,0,1,0,2,0,4,0,1,0,0,0,0,0,0,7,0,0,0,0,2,4,1,0,67,3,0,0,209,0,2,2899
fclp_fluent-command-line-parser,0,2,0,0,3,0,0,0,7,1,6,20,0,0,2,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,10,0,0,0,2,0,0,3167
featurist_coypu,9,5,0,0,2,0,0,0,3,0,17,3,6,0,1,8,1,8,2,0,0,3,2,0,0,6,0,0,15,2,33,0,0,8,10,0,0,5712
federicodangelo_CubeWorld,35,9,0,0,0,3,1,2,5,0,10,5,71,0,2,7,0,11,2,0,0,1,5,3,0,3,9,57,38,0,97,17,2,2,1150,0,13,8251
fehaar_FFWD,9,3,0,0,1,0,0,0,3,0,5,0,6,1,0,2,0,0,1,0,0,0,0,0,0,0,1,9,0,0,21,0,0,0,6,0,0,2459
ferram4_Kerbal-Joint-Reinforcement,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,1,0,5,0,0,0,0,0,0,0,0,3,14,0,0,48,3,0,0,68,0,0,1510
fholger_RocksmithToTab,0,0,0,0,0,0,0,2,9,0,1,4,19,0,8,3,0,0,0,0,0,0,0,0,0,0,4,19,5,0,44,2,0,4,507,0,2,5126
figment_tesvsnip,1,8,0,6,8,2,0,28,87,5,273,277,127,31,52,86,1,179,0,0,0,1,28,11,5,36,60,334,137,5,569,83,8,89,3895,5,143,165453
filipw_aspnetwebapi-outputcache,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,225
firefly2442_Arma2NETMySQLPlugin,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,23,3,2,0,70,0,0,674
flagbug_FlagConsole,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,0,3,0,2,0,0,5,0,0,0,75,0,1,2084
flagbug_Lager,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102
flagbug_YoutubeExtractor,0,0,1,0,2,0,0,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,16,1,0,1,178,0,1,2239
flextry_Telerik-Academy,0,9,4,1,13,0,0,15,146,0,231,70,32,4,36,26,0,108,0,0,2,0,17,27,2,25,10,104,13,7,187,18,1,2,1817,3,14,63345
flibitijibibo_SDL2-CS,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,18,0,0,4228
flickr-downloadr_flickr-downloadr-gtk,1,2,0,0,4,0,0,2,3,0,12,0,0,0,7,0,0,3,0,0,0,0,2,5,0,2,6,7,14,0,43,1,10,2,258,0,3,6077
flipbit_whois,0,3,0,0,3,0,0,0,3,0,22,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,6279
FlorianRappl_WinFormsX,0,0,0,1,3,0,0,1,17,0,47,3,25,0,10,5,0,1,0,0,0,0,2,0,0,0,4,7,57,0,89,0,0,0,665,0,1,6503
fluentribbon_Fluent.Ribbon,0,6,4,6,10,0,0,20,74,4,134,30,20,4,80,18,0,110,6,0,0,2,10,40,4,6,8,88,16,4,401,34,0,0,782,0,36,55056
FoC-_MongoMembership,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,18,1,21,0,0,0,8,0,4,1049
Fody_Anotar,0,0,0,0,11,0,0,3,63,0,86,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,2,17,0,0,0,0,0,0,5172
Fody_Costura,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
Fody_Ionad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fody_MethodDecorator,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,16,1,0,0,0,0,0,580
Fody_MethodTimer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Fody_Obsolete,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Fody_PropertyChanging,0,0,0,0,0,0,0,0,25,0,41,6,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,383
Fody_Usable,1,3,0,1,2,2,0,11,4,0,17,29,17,7,0,16,0,15,1,0,1,0,2,0,1,0,15,155,18,13,283,61,0,2,335,0,27,23161
Fody_Validar,0,0,0,0,1,0,0,0,1,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672
