Project,No of Types,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,FAN-OUT,FAN-IN
ChadMoran_BattleDotNet,79,15,43,352,4,35,2680,75,2,2,3.9,22,22
chanchunghao_CsQueryControls,97,25,109,402,0,96,7342,144,68,75,5.2,43,43
Chandu_DotEnv,21,59,116,8,3,79,2128,286,7,7,4.51,23,23
Chanisco_TowerDefence,0,0,0,0,0,0,0,0,0,0,0,0,0
chargeover_chargeover_csharp,1194,2823,9658,3152,412,5515,185434,29708,534,569,325.38,4705,4705
chariothy_MultiTargetFrameworkManager,5,4,6,3,0,3,116,12,0,0,1,0,0
charliecm_ColorPicker,4,17,27,20,2,3,511,47,0,0,0.91,1,1
CHECK24_c24.Runman,8,4,15,4,4,15,456,20,0,0,1,3,3
chefkoch_MkvTagger,34,48,154,101,18,90,3509,341,0,0,10.14,51,51
chensonglin_MDT,207,388,865,394,58,327,16663,2053,34,34,47.09,305,305
ChessOK_ModelFramework.Mvc,8,8,28,7,1,14,280,37,1,1,1.82,6,6
chiensiTB_EnergyPlusTextParser,3,2,85,0,0,42,8891,1362,0,0,0,2,2
ChillPillGames_RiverQuest,0,0,0,0,0,0,0,0,0,0,0,0,0
chinaboard_AppStrap,18,10,68,11,1,52,597,105,1,1,3.2,22,22
choudeshell_Tattle,12,27,116,34,3,83,882,142,1,1,2.3,22,22
chraft_c-raft-plugins,24,38,113,111,17,97,1825,263,0,0,6,27,27
chrbayer84_SLAgentCSServer,643,2369,4248,974,1550,3835,122594,10528,445,462,242.620000000001,1808,1808
chrisfraser_AsyncKitchenIntro,3,2,14,0,0,2,132,14,0,0,0,2,2
chrisloris_SparkIODotNet,34,67,111,47,2,58,1557,203,3,3,5.31,25,25
christianrondeau_jira-toggl-sync,9,6,29,8,0,16,262,38,2,2,0.98,13,13
christophwille_demosatconferences,60,238,456,256,0,44,5383,529,9,9,29.23,58,58
chriswill_RippleRPC.Net,45,10,99,140,1,69,1650,171,4,4,2.64,29,29
ChrizLee_excel-it,8,5,17,10,0,6,305,47,2,2,0.44,9,9
chrkru_quartznet-retryable,6,9,18,11,0,16,401,29,2,3,1.28,4,4
ChugR_Apache.NMS.AMQP,37,234,435,152,10,357,7165,1031,15,15,20.1,76,76
chunchill_Csharp-Demos,65,24,123,28,0,65,1813,174,4,4,2.56,18,18
cilerler_Ruya,47,30,150,17,10,104,2506,451,3,3,1.43,19,19
cj1024_RSSReader,231,626,1017,278,100,478,31193,3585,62,72,76.47,569,569
cjaehnen_BuilderGenerator,11,5,19,22,5,9,729,57,2,2,1.5,16,16
cjbhaines_MemBroker,7,9,33,4,0,20,283,44,3,3,1.12,5,5
clarify_clarify-csharp,33,109,44,108,2,15,2627,117,4,4,24,47,47
ClarityDevelopment_ServiceStack.CodeGenerator.TypeScript,17,3,19,26,0,12,534,53,0,0,0.71,7,7
clariuslabs_NuTracer,12,11,61,5,1,43,1433,93,4,4,1.7,7,7
claudiosanchez_Emplea.do,6,10,30,0,2,9,386,36,0,0,0.92,3,3
clcrutch_zelda64,0,0,0,0,0,0,0,0,0,0,0,0,0
cliftonm_nlp,147,241,640,432,16,525,10288,1315,40,40,30.32,130,130
ClockMan_l2tower-lua-api,22,50,56,3,36,36,1335,232,6,6,1.76,44,44
Close0_Hangs,4,5,7,5,0,1,190,23,0,0,0.7,1,1
clovett_SensorTag-for-Windows,65,200,410,117,15,150,6335,940,17,17,23.93,120,120
ClusterReply_minisqlquery,205,160,734,474,6,415,13780,1471,139,171,26.16,528,528
cmaneu_deezer-net-api,9,5,12,35,0,9,364,16,4,4,2.61,5,5
CNH-Hyper-Extractive_parallel-sdk,188,407,1595,340,88,1336,21702,2967,124,164,78.09,406,412
CNH-Hyper-Extractive_simple-script-wrapper,25,125,157,81,0,108,3182,359,6,6,5.89,28,28
codaxy_dox,158,335,181,425,0,127,9079,725,22,34,3.41,260,260
codeforamerica_golden-ticket-splitter,3,18,6,18,0,3,252,15,0,0,0.75,3,3
CodeMangler_EventLog-Analyzer,43,134,127,63,38,80,1482,175,21,32,12.61,62,62
CoderNumber1_Laziton,47,19,175,107,1,37,1636,254,7,7,9.71,73,73
codesmithtools_SchemaHelper,69,77,250,337,9,130,6440,651,35,42,15.14,146,146
Codestellation_Ether,36,70,128,35,4,84,1608,191,13,13,11.5,46,46
codetrip_AstarPets.Interview,28,3,25,18,0,21,321,38,16,19,0,26,26
Codeuctivity_Mp4BoxSharp,10,18,31,10,6,8,531,51,2,2,3.37,4,4
codingblocks_SolidTacToe,35,2,38,29,0,20,780,70,20,22,0.33,53,53
codingkix_MobileMicroSites,267,2148,3771,2144,6,1792,49541,4007,25,25,226.69,344,344
CoEST_TraceLab,3010,7210,18210,5737,1592,7334,345900,42819,1125,1497,806.090000000001,7983,8007
coinvoy_csharp-client,11,1,13,62,0,13,435,26,0,0,0.25,10,10
coldstorm_cac,10,20,21,1,12,10,198,30,2,2,4,9,9
collielimabean_BukkitPluginEditor,21,55,91,20,11,45,1825,147,7,7,8.1,10,10
comicbonbon_Speed,12,10,22,4,2,20,246,32,2,2,0.34,12,12
CompassPHS_scurrynet,22,7,87,26,0,57,1281,222,1,1,2.24,18,18
computamike_NetworkAssasin,7,5,10,10,0,5,221,14,0,0,0.62,7,7
confa_AIEngine,82,16,154,115,1,115,2465,256,27,28,6.26,97,97
Connorcpu_EqBeats-WinRT,55,27,122,49,12,76,2553,229,3,3,7.85,25,25
Consid-Varnamo_Common,46,112,247,101,8,74,4558,825,28,30,16.7,128,128
consortio_LogPipe,80,79,188,101,0,135,2105,288,43,45,9.48,180,180
continuousit_seq-api,2,2,6,0,0,0,158,23,0,0,1.34,0,0
Contrast-Security-OSS_contrast-sdk-dotnet,25,18,53,100,0,30,1354,83,3,3,2.06,20,20
CooLMinE_FileUnsigner,1,1,4,0,0,0,66,13,0,0,0,0,0
CoolOppo_Opus-Encoder-GUI,3,1,11,0,0,2,67,13,0,0,0.75,2,2
Coolpix_Unity,0,0,0,0,0,0,0,0,0,0,0,0,0
coreLogic_sws-integration-dotnet,5,35,15,7,0,1,397,56,0,0,0.93,4,4
corenting_NintyGameHeader,21,16,69,21,7,55,1005,229,9,10,2.01,25,25
coreyauger_Neo4JMembershipProvider,4,22,62,38,0,54,1550,222,0,0,1.49,3,3
corick_sfml-2d-lucid,509,664,1866,639,201,1029,48280,2711,210,273,124.56,581,581
Cosmo_spotify-places,1,0,1,0,0,1,9,1,0,0,0,0,0
Cosmo_TakeGive,7,0,1,29,0,1,184,1,0,0,0,0,0
Cotes_CPUMonitor,6,15,28,0,1,25,284,53,3,3,3.3,5,5
couchbaselabs_couchbase-model-views,25,15,26,40,3,20,660,75,7,7,0.69,22,22
countersoft_App-AdminAudit,16,4,89,41,4,89,3822,552,0,0,0,36,36
countersoft_App-Changelog,6,3,12,36,3,9,517,40,0,0,0,4,4
countersoft_App-DocStore,3,2,14,4,2,14,353,30,0,0,0,2,2
countersoft_App-GeckoboardConnector,4,0,13,0,0,13,1039,367,0,0,0,2,2
countersoft_App-ItemRepeater,7,1,12,14,1,12,380,56,0,0,0,5,5
countersoft_App-LucidchartConnector,8,10,29,20,3,27,576,69,0,0,1.44,9,9
countersoft_App-ProjectSummary,8,0,32,26,0,18,778,70,0,0,0,7,7
countersoft_App-Roadmap,6,3,13,38,3,9,546,44,0,0,0,4,4
countersoft_App-TFSPicker,6,6,17,17,2,15,641,70,0,0,0.92,6,6
countersoft_App-Timesheet,6,3,20,44,0,12,759,81,0,0,0.85,9,9
Cprice1771_RobotRampage,590,2512,3567,1058,995,2617,84097,10592,134,137,157.03,2562,2562
cqframework_healthedecisions,1369,3839,836,3816,17,721,61043,1390,861,1465,584.16,2140,2140
crackalak_wunderNET,8,5,10,73,0,10,403,11,0,0,0.52,5,5
craigsmitham_HtmlTags.AspNet.Mvc,33,5,60,4,3,52,733,70,4,4,0,23,23
crcruicai_Library,621,1827,3209,1453,135,1692,81294,9320,42,46,197.18,684,684
crdeutsch_Mvc.Bootstrap.Datatables,16,75,122,21,50,36,2262,546,0,0,2.17,21,21
crftr_axis_snap,7,17,19,0,0,12,218,26,0,0,1.25,3,3
croacker_DeclarantBrige,133,303,347,605,4,200,9650,556,41,41,23.3,161,161
CrocInc_wiki2markdown,16,33,33,9,21,19,932,130,3,3,2.59,32,32
crosscourt_MyHobby,3,6,2,0,3,2,52,3,0,0,0,0,0
CryptoRepairCrew_MYRClient,75,18,170,232,1,138,3121,272,14,13,2.73,59,59
csells_MeetMeet4Xamarin,24,45,94,48,10,32,1547,154,0,0,10.9,18,18
ctl-global_ctl-data,39,69,155,71,5,111,3577,394,18,17,6.86,35,35
ctstone_json,7,5,49,5,0,32,514,107,0,0,1.16,5,5
cube-soft_cubepdf-merge,11,4,39,18,1,9,1021,144,0,0,0,10,10
cube-soft_CubePowerLib,12,15,34,7,1,10,1055,133,9,9,9,12,12
cuken_Legion-Tactical-Launcher,12,13,27,10,1,21,616,69,0,0,1.57,1,1
CultureBMo_ProLexia,4,5,18,1,0,2,174,21,0,0,2,4,4
CutFlame_TextFieldApp,15,13,68,21,5,28,664,97,7,7,2.03,8,8
cyeates_Lunchinator.Api,23,9,46,34,0,33,590,70,5,5,1.72,27,27
cyh24_Face-Track-Detect,12,68,60,14,15,26,1494,232,0,0,4.54,9,9
d60_CirqusSamples,21,6,47,29,1,35,542,61,0,0,1.78,30,30
Dacke_Dacke.Trace,1,0,12,0,0,12,120,12,0,0,0,0,0
daffers_version-keeper,21,9,71,8,1,60,643,86,4,4,2.07,40,40
daihenka_Houston2GeminiGUI,7,8,28,15,0,9,910,46,0,0,0.7,5,5
daleemel_xamarin-store-app-master,20,32,53,52,9,39,972,87,0,0,5.43,16,16
Dallas92_SmartTaxi,30,7,28,103,1,28,927,49,0,0,1,15,15
dalotodo_repository,18,12,56,5,0,40,532,88,7,7,2.17,9,9
DalSoft_DuckObject,11,13,100,8,2,79,1554,205,0,0,2.97,11,11
dalssoft_diagramnet,47,157,313,151,1,143,5091,729,47,27,17.76,157,157
Damacustas_sjsontools,5,1,21,5,0,7,377,72,2,2,0,7,7
damageboy_daemaged.ntp,9,38,63,34,2,30,1263,103,0,0,2.61,13,13
damageboy_distorm-net,21,64,22,36,38,12,1997,43,0,0,3.6,31,31
dan-sw_PTP_GUI,253,834,992,662,261,504,29491,2417,89,97,58.19,580,580
DanDiplo_UmbracoTraceLogViewer,7,15,25,15,0,20,480,54,0,0,2.55,8,8
danelkhen_fsync,94,150,322,155,55,167,4635,741,17,20,28.91,154,154
danesparza_iTunesSearch,10,2,21,76,0,18,752,42,0,0,0.64,7,8
danhigham_CloudFoundryRemote,54,82,307,83,3,262,4816,547,3,3,12.09,117,117
danhigham_NancyWebTest,507,727,2492,824,114,1449,48262,4722,263,260,93.19,1273,1273
danieldutton_AI-Single-Perceptron,11,14,25,3,0,7,307,31,3,3,0.84,10,10
danieldutton_TempPlus_CSharp,11,28,20,11,6,10,455,23,1,1,1.77,6,6
danielkrainas_Remix,43,70,235,121,12,176,3361,601,8,8,14.76,86,86
DanielLonghurst_3DsUnlock,4,2,8,0,0,6,149,14,0,0,0,1,1
danielmazzini_Try,6,1,23,6,0,16,162,28,2,2,0.4,10,10
danielsilva_Neo4jClient.Migrations,5,1,13,4,0,6,126,24,1,1,0.43,4,4
danielskowronski_KKMapp,31,67,90,6,21,59,1217,141,0,0,5.44,48,48
danielskowronski_WieszakHelper,2,6,17,0,0,2,218,33,0,0,1.88,1,1
danilom_AttachNoteToWindow,6,7,30,6,0,5,359,46,0,0,0.88,3,3
danrequiem_Loging,3,1,4,0,0,3,31,5,0,0,0,0,0
dapaxx_reportsync,139,423,523,369,2,315,9444,811,16,16,2.31,154,154
daprlabs_ExchangeWebServicesCreateAsync,5,2,10,4,0,4,327,23,0,0,0,4,4
daprlabs_WebStream.Client,3,4,5,0,4,4,220,7,0,0,0,2,2
daptiv_VsTools,7,21,22,18,0,13,478,73,0,0,3.63,7,7
darcythomas_HaywireOwin,17,43,53,5,17,25,611,130,4,4,3.27,26,26
darkl_Ishimotto,17,62,130,59,0,32,1641,170,4,4,5.28,19,19
darrelmiller_HypermediaClients,61,69,187,57,4,109,2697,357,8,8,14.41,65,65
darren-clark_mqtt,36,54,134,14,19,38,1390,288,20,24,6.51,78,78
darren-gibson_CustomerOrder_PlayPen,175,68,279,147,0,204,3458,322,32,34,8.62,247,247
Dataje_BusDataTools,9,21,15,7,0,6,1442,194,0,0,1.5,3,3
daveaglick_LINQPad.CodeAnalysis,7,15,66,0,0,50,763,118,3,3,1.5,11,11
davevr_GECoPilot,30,30,50,323,0,27,2298,88,0,0,4.27,27,27
davidcalculli_infracsharp,3,3,19,2,0,17,303,46,0,0,0.91,1,1
DavidHoerster_Agile.NancyHol,15,4,26,20,0,15,367,29,5,5,0.5,16,16
davidknipe_PriceEvents,10,9,20,6,0,13,298,31,1,1,1.33,13,13
DavidRogers_kato,114,231,381,206,78,185,7918,831,15,17,29.49,139,139
davidturneruk_PCLCache,40,77,187,82,5,92,3341,335,9,11,15.17,59,59
davidwhitney_ReallySimpleRestClient,24,7,84,41,0,50,886,152,3,4,1.48,44,44
davidzaadstra_vc2clangdb,2,3,14,0,0,4,236,46,0,0,1,1,1
davorpr1_ODataGenerator,12,16,19,4,6,12,448,22,4,4,0.83,13,13
DavyWk_POP-Lib,15,29,68,19,18,47,1397,213,0,0,1.77,17,17
DAWacker_SpaceRacePrototype,0,0,0,0,0,0,0,0,0,0,0,0,0
dawidcieszynski_ZXing.Net,2458,6858,11877,3610,628,5020,472110,45889,1237,1364,673.110000000001,6493,6493
dazfuller_FileStreams,20,1,43,24,0,32,686,109,8,8,0.67,21,21
dazik_xdiff,21,33,98,27,2,37,2058,281,1,1,5.12,27,27
dazmodel_PAKConfig,41,125,233,54,12,70,2531,393,1,1,13.54,129,129
dbaileychess_NeuQuant,24,73,152,69,25,91,2740,376,1,1,6.99,39,39
dbettin_webapi.nlog,3,2,7,10,2,2,194,20,0,0,0.8,2,2
dblock_sncore,178,627,1158,370,50,741,23779,3329,46,50,74.43,338,338
DCubeLabs_ConfLoopbackXamarin,25,9,40,34,0,21,996,47,10,7,0.78,45,45
DCVolo_SurfaceGame,12,44,54,11,26,32,823,124,0,0,5,12,12
DeborahK_VS-AcmeCustomerManagement,22,11,47,27,0,28,1093,96,4,4,2.17,17,17
deCost_csm,32,86,131,91,0,127,4022,870,4,4,6.74,67,67
deejaygraham_msbuild-tasks,11,7,21,21,0,15,680,89,0,0,1.78,7,7
deil_mosquito,62,46,117,35,11,77,1092,151,17,17,16.89,91,91
delmosaurio_vs-nitrus,39,32,71,53,4,56,1262,134,2,2,6.5,45,45
DeltaEngine_DeltaEngine.GLFW,835,1748,4892,1500,348,2423,55774,8559,712,784,302.97,3497,4634
DeltaEngine_DeltaEngine.MonoGame,833,1725,4820,1508,347,2407,55473,8485,712,784,306.36,3469,4606
DeltaEngine_DeltaEngine.OpenTK,1077,2201,6605,2208,447,3119,74663,11372,776,853,395.45,4473,5610
DeltaEngine_DeltaEngine.SharpDX,1080,2212,6586,2217,446,3095,74753,11324,780,865,397.8,4473,5610
DeltaEngine_DeltaEngine.SlimDX,842,1797,4911,1491,362,2397,55916,8472,717,797,311.89,3510,4647
DeltaEngine_DeltaEngine.Xna,832,1716,4813,1503,347,2398,55340,8462,713,786,305.72,3478,4615
demdxx_MonoCache,19,16,118,12,8,74,1603,196,6,6,1.87,21,21
demot_RandomOrgJson-RPC,6,11,51,24,0,36,1201,174,0,0,2.09,7,7
dengdai1gr_pony1005,0,0,0,0,0,0,0,0,0,0,0,0,0
denmerc_mongoSamples,4,2,7,9,1,3,121,10,0,0,1,1,1
densjizz_saleslead,23,2,30,47,1,22,458,38,3,3,0.58,13,13
derekgreer_expectedObjects,103,527,7,22,2,7,1879,7,1,1,0,71,71
derSmon_Twittergotchi,6,44,31,7,10,21,599,84,0,0,3.19,6,6
DeSjoerd_Orchard.Events,14,5,53,1,0,16,518,76,4,6,1.04,17,17
deslum_ScrPush,10,13,47,4,3,18,624,75,0,0,0.76,6,6
detrm_CIMTool,11,4,77,25,0,8,2362,198,0,0,1,7,7
devangel_splitapp,54,32,99,256,0,50,2689,174,0,0,9.66,45,45
devbridge_SeleniumTools,9,19,41,16,0,16,600,98,2,2,2.26,12,12
devdavidkarlsson_CustomerRelationsIllustrated,14,21,59,16,0,38,1058,92,0,0,2.11,20,20
devedse_TurtleTurner2000,236,929,1252,359,352,868,30131,4017,49,52,69.33,811,811
deveel_deveel-cli,47,45,252,71,12,194,3062,426,14,15,7.06,114,114
devinrader_ngrok.editor,35,46,48,72,21,34,1127,74,3,3,4.77,47,47
devmondo_HangFire.SimpleInjector,2,4,7,0,0,7,54,12,0,0,0.58,1,1
DEVSENSE_WpDotNet,5,2,14,2,1,8,268,24,0,0,1,4,4
dfch_biz.dfch.CS.Cumulus.Scheduler,34,280,563,256,4,92,6620,634,2,2,26.98,50,50
diaconesq_RecurringDates,30,6,103,29,0,87,908,129,23,25,2.6,27,27
diantahoc_AniWrap,49,169,390,163,38,256,10268,1312,6,6,18.32,88,88
dib0_NHapiTools,60,51,26454,54,2,26412,222453,52919,14,18,6.46,39,39
dibley1973_Dibware.EF.Extensions,5,1,10,8,1,10,230,20,1,1,0.5,3,3
diegocaxito_LuceneTest,14,15,27,0,3,16,398,46,1,1,1.65,8,8
Digiman_Custom-ASP.NET-MVC-Identity-2.0,34,33,224,64,22,156,1977,341,10,10,3.45,22,22
digital-steez_soundcloud-sync,10,0,10,81,0,4,518,24,2,2,0,6,6
diksito_ImageProcessing,7,11,19,9,10,15,370,79,1,1,0.9,9,9
DimensionDataCBUSydney_OctopusDeploy.Powershell,52,4,54,231,0,10,2706,185,23,24,0.38,45,45
dinobenz_Blognone,4,1,3,17,0,3,285,17,0,0,0.33,3,3
diogos88_PhotoFrame,8,15,22,24,0,7,518,75,0,0,0.81,5,5
dipeshc_MediaOrganiser,23,48,46,73,5,31,1173,108,15,12,4.34,31,31
DirectEmployers_dotJira,13,10,18,40,0,17,496,26,0,0,0.86,5,5
Discover-_Spell-Editor,32,42,228,41,1,186,3464,407,5,5,6.72,46,46
discretelogics_TeaFiles.Net,68,81,253,96,30,177,4815,502,10,10,20.42,126,126
Disposer_Giparus,55,61,219,106,5,120,5454,691,18,15,11.37,79,79
distantmoon_WallPaperManagement,53,20,63,56,0,49,1164,73,9,9,2.33,20,20
djMax_SimpleUtils,1,5,5,2,3,5,86,10,0,0,0.2,0,0
DKorablin_PEReader,146,164,333,404,33,242,14705,1136,99,108,39.32,260,260
dkuppitz_rexpro-client,20,28,50,29,7,40,697,76,9,9,3.98,19,19
dlmelendez_identitydocumentdb,17,17,61,25,3,45,794,87,7,7,0.83,18,18
dmanning23_BulletCircusDemo,3,19,13,1,1,6,301,39,0,0,1.4,2,2
dmanning23_InputWrapperSample,3,9,7,1,0,3,120,12,0,0,0.44,2,2
dmanning23_ShiftingRectangles,2,6,10,15,0,6,276,20,0,0,0.62,1,1
dmanning23_TetrisRandomizer,1,1,3,4,0,3,109,8,0,0,0,0,0
dmcgiv_AwsSesWrapper.Net,41,6,63,49,0,43,1293,143,24,24,1.99,31,31
dmitry-v-titov_DomainNamesFilter,35,24,54,18,0,43,1368,72,21,24,1.6,63,63
DmitrySibert_shewhartcards,8,25,70,1,3,56,1034,168,1,1,3.39,9,9
dmitrysmorodinnikov_BTCeApi,42,8,50,133,0,27,1251,85,2,2,1.14,39,39
DMS-Aus_MapManager,75,319,903,147,33,263,20712,3147,23,26,35.24,158,158
dnewcome_flog,1,4,5,1,0,3,107,17,0,0,0,0,0
DNikitenko_design-patterns,115,47,219,46,0,162,2828,295,72,74,5.7,130,130
dnikku_coffeescript-httphandler,7,6,18,5,2,11,288,34,2,2,1.67,10,10
dnmitev_Web-Services-And-Cloud,87,39,192,176,0,109,1968,227,24,24,16.71,50,50
DoctahJones_JPEGTag,9,23,99,2,0,45,1387,209,1,1,4.49,7,7
doggy8088_DataDictionaryCreator,11,16,100,54,3,16,1715,230,2,3,1.88,13,13
Dolnor_Dell-SCT-IT8518E-Fan-Control,10,27,36,19,0,18,606,90,3,2,2.77,10,10
Dolphiniac_Swarm,58,194,588,24,120,518,10034,1860,4,4,14.82,46,46
domonkosgabor_OrchardSource,929,823,3843,1176,20,2402,46727,6125,483,593,116.11,2067,2067
dorbacao_getdb,29,4,57,39,0,24,748,120,16,14,0.83,18,18
dotMorten_ZigbeeNet,39,7,82,104,0,56,2250,241,26,37,0.75,27,27
DotNetAnalyzers_DotNetAnalyzers,3,6,8,1,2,5,104,10,0,0,2,1,1
dotnetautor_WP8Kochbuch,206,172,555,320,9,174,10669,865,9,9,36.3,101,101
dotnetcurry_winrt-81-hub-control,19,24,86,48,0,62,1493,150,0,0,7.82,33,33
dotNetNocturne_Pacman_Episode1_GreenTeam,8,5,11,5,0,8,122,23,2,2,0.33,6,6
dotnetprofessional_MSpec.Extensions,37,12,58,95,4,33,1485,156,2,2,1,46,46
dotnetprojects_DynamicDataDisplay,1363,2433,4152,1887,243,1900,71290,7523,473,574,296.21,1886,1888
dotnetprojects_WPF_SL_Combined_Toolkit,114,113,388,116,46,117,5145,845,76,138,9.29,47,47
doubleleft_hook-csharp,14,26,68,1,4,57,565,85,1,1,5.08,16,16
DouglasAlmeida_Cards,7,10,26,6,0,16,432,41,0,0,1.47,5,5
dougrathbone_bauerdevsessions,39,10,41,20,0,27,454,62,22,24,0.92,28,28
dougrathbone_Ga.net,10,15,19,33,13,16,566,31,0,0,1,10,10
dprotaso_Google.PhoneNumbers,32,282,442,8,1,308,8174,1065,0,0,11.54,67,67
dprotopopov_PlanarGraph,37,26,254,50,0,221,3357,437,13,8,2.71,110,110
dr1fter_apn-converter,11,44,55,19,0,24,1056,151,0,0,5.19,12,12
drachis_fractals,0,0,0,0,0,0,0,0,0,0,0,0,0
DraphonyGames_tetris-unity,0,0,0,0,0,0,0,0,0,0,0,0,0
drasticactions_sekai,4,0,4,15,0,0,96,4,0,0,0,2,2
DraygoKorvan_SE-utils,5,25,29,35,0,24,756,83,0,0,2.29,6,6
drdamour_SpringloopsAPI,21,7,56,53,1,46,905,74,4,4,1.39,6,6
DreamRecorder_Our4Legend,35,44,80,52,0,52,2135,141,0,0,9.21,27,27
drlongnecker_Thought.vCards,40,76,157,102,0,101,5600,628,2,2,13.07,66,66
DrNorton_RedmineClient,377,760,1502,340,421,907,33948,3191,176,172,54.4,570,570
DrNorton_ScaryStories.Core,458,1523,2084,477,389,1123,60323,9173,187,218,106.38,1500,1500
Druzil01_PoEHelper,139,298,466,250,154,322,8338,1036,81,110,46.92,365,365
ds62987_TaskMan,17,12,45,26,0,24,547,79,9,9,0.99,27,27
dschenkelman_async-io-talk,15,11,29,6,2,17,370,36,4,4,2.5,13,13
dsuarezv_mavlinkclient-cs,316,1573,1100,10,1543,584,21717,1310,234,234,127.43,507,507
dtraykov_telerik,266,333,1456,267,37,1099,32405,3427,69,64,62.72,239,239
dtretyakov_node-tools,509,1787,3058,1203,662,1692,60598,7514,175,183,157.6,1137,1137
dubmun_DependencyKata,7,7,9,4,0,6,120,11,2,2,0.5,4,4
dufernst_TorrentInstaller,11,35,62,46,1,25,1057,132,0,0,2.32,7,7
duk3luk3_ArtyCalc.Sharp,37,96,135,107,7,74,3091,264,9,9,14.33,61,61
DuxClarus_Uat-Portfolio,34,101,185,28,12,78,2110,371,1,1,10.06,35,35
dwmkerr_file-format-wavefront,29,70,49,45,12,19,1470,145,5,8,5.08,48,48
dwmkerr_QuickAccent,13,14,65,28,0,24,1335,116,0,0,2.96,16,16
DynamicTyped_Colo,11,10,50,17,0,26,858,108,6,13,0.55,13,13
eamoreno_AFDCompi,14,38,69,26,0,21,1526,334,1,1,3.34,20,20
Early-Modern-OCR_FrankenPlus,23,114,160,8,55,73,2668,552,2,2,9.79,50,50
east-sussex-county-council_Escc.Cms,91,238,465,282,0,238,12092,1361,4,4,19.52,94,94
EaterOfCode_ITA,11,10,31,22,2,24,412,42,0,0,1.84,5,5
eatfrog_bulletmllib4unity,34,16,107,54,2,87,2447,343,20,23,4.2,130,130
ebifrier_Plugin_Voiceroid,9,24,48,24,5,23,912,97,0,0,3.85,12,12
ebola777_Sierpinski-Triangle,81,50,219,142,1,95,3317,351,29,54,13.33,123,123
ecalderoncc_DASGE-Final-work---Sistema-de-Facturacion-e-Inventario,25,104,260,39,0,109,4325,560,0,0,16.49,62,62
edcombs_DeadDodo,1,0,1,0,0,0,7,1,0,0,0,0,0
edelgiudice_iBoardingPass,60,154,195,160,8,105,6366,952,8,14,10.67,68,71
EdenRidgway_gfcdock,36,72,136,68,7,51,2891,465,3,3,13.78,63,63
edgardoreyes_prop360,12,0,1,108,0,1,473,1,10,10,0,0,0
ediazal_tinyos-csharp-sdk,25,116,173,10,31,96,2334,466,5,5,12.09,44,44
edn-format_edn-dot-net,13,21,84,14,11,69,744,121,11,7,2.07,20,20
EdocGroup_efprime,3269,11522,26537,9353,361,8865,523126,57966,1705,2027,1009.22,20462,20462
EdwinSaenz_WcfDuplexAndRxClient,8,3,15,2,0,10,115,17,3,3,0,4,4
eeejayg_Pirch,64,69,189,136,34,115,3332,401,30,47,15.81,108,108
EggieCode_COD2Paster,8,12,11,24,6,3,409,67,0,0,0.53,6,6
EgorBo_Xamaridea,7,11,21,3,6,15,300,51,0,0,1.45,6,6
egyptian-geeks_fb_group_archiver,13,11,35,3,4,19,518,74,0,0,1.5,19,19
eidan69_Simyo-Api,14,40,52,7,31,34,953,161,4,4,4.8,14,14
eirikt_Memoizer.NET,0,0,0,0,0,0,0,0,0,0,0,0,0
eiva_ArduinoPrinter,4,5,18,3,0,1,302,46,0,0,0.79,0,0
ejholmes_uTorrent-Notifier,18,86,68,46,3,33,1614,152,1,1,9.99,23,23
ekenvin_Underworld,0,0,0,0,0,0,0,0,0,0,0,0,0
ekoyudhi_ManageQsl,13,40,55,29,7,29,1159,111,0,0,7.83,22,22
elagin_osm-orbis-terrarum,12,32,80,12,5,21,1340,176,0,0,2.85,11,11
elbandit_Asp-Net-Design-Patterns-CQRS,95,57,168,53,2,138,1719,194,44,44,5.11,101,101
elcinertugrul_facademy,3,12,3,0,12,2,130,10,0,0,2,3,3
electron931_ASPBlog,35,12,166,37,0,120,991,221,26,26,0.88,30,30
Eleniitha_practica-5,4,1,13,0,0,5,180,36,2,3,1,1,1
ElevenPaths_latch-plugin-dotnet-membership-provider,8,19,57,33,0,25,1359,107,0,0,3.57,6,6
ElevenPaths_latch-sdk-dotnet,3,24,36,5,13,24,504,62,0,0,1.2,2,2
elkingtowa_de,58,91,249,34,66,214,3584,839,34,47,17.99,118,118
Elodie950_MVCboutik,11,48,30,46,0,20,1080,55,0,0,5.25,13,13
Elsensee_ChromePassDecrypter,2,4,5,3,0,3,118,17,0,0,0,1,1
emackey_arduino-control,12,19,37,13,0,13,594,100,0,0,2.29,13,13
emanueldejanu_CDB.NET,9,21,38,4,2,25,820,100,0,0,1.89,13,13
EmbraceUnity_DejaVu,26,48,201,57,10,120,3235,267,10,7,5.63,55,55
EmbraceUnity_PortableLZ4,3,42,19,5,0,10,545,56,0,0,1.71,2,2
emech-en_Micromouse-Simulator,18,35,75,11,10,49,1457,346,3,3,4.22,45,45
EmiiFont_SaveMe,7,16,14,0,1,8,278,42,0,0,1.63,4,4
emilcardell_SleipnirCMS,5,10,12,0,0,10,138,12,0,0,0.99,0,0
EmilGedda_QuickImage,27,34,72,42,7,39,1195,109,4,6,5.14,25,25
EmnaZayaniEsprit_ECommerceV3,99,44,176,207,0,117,2220,200,64,63,3.16,127,127
emujic1_eOrdinacija,40,11,118,178,0,96,2602,223,0,0,1,49,49
