Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,2380,13,1,55,19,0
0,0,0,0,0,0,0
15,242132,3350,35,875,4527,35
3,5138,107,6,60,116,9
7,10848,82,9,176,153,8
1,1844,27,2,639,31,1
1,236,4,2,0,2,0
1,404,6,2,0,4,0
5,0,0,0,0,0,0
4,0,0,0,0,0,0
2,4316,46,12,98,16,7
3,5462,33,2,146,77,1
0,0,0,0,0,0,0
2,2660,48,8,15,15,11
3,5343,169,17,82,252,14
2,3512,57,6,42,28,9
3,11701,129,9,258,179,10
111,176799,1678,230,2698,1090,98
3,9069,108,13,504,253,16
1,13935,222,1,235,206,1
4,2073,33,4,71,21,1
2,2322,45,8,26,12,18
5,55948,3757,61,270,3755,141
3,102518,635,45,3179,434,100
4,51096,208,10,1317,387,9
3,27708,225,15,516,206,42
1,15467,59,6,219,177,2
26,52824,403,67,5253,363,26
19,75204,1356,70,2748,1623,80
3,5529,101,19,35,107,6
1,7487,69,2,903,63,1
2,2317,45,5,14,36,4
13,0,0,0,0,0,0
88,780196,6465,266,9925,7988,522
1,8994,77,5,231,55,4
14,98487,815,103,2805,861,138
1,4988,38,2,9,29,1
1,125,3,1,1,1,0
3,2594,100,5,41,112,4
5,37388,396,42,1069,333,82
6,10723,88,19,301,119,11
2,0,0,0,0,0,0
21,6949,69,30,148,45,1
2,11228,346,18,286,344,54
1,5771,473,2,0,865,2
3,35766,257,15,334,785,36
19,16832,241,41,296,138,14
2,29123,236,26,120,130,37
10,11655,249,27,314,92,28
7,12900,218,28,491,222,29
16,35716,207,43,1190,159,26
5,632,6,5,6,8,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1263,45,4,2,54,2
22,16510,124,34,50,90,4
2,19154,156,10,69,187,29
1,300,8,1,2,4,1
1,0,0,0,0,0,0
0,0,0,0,0,0,0
6,3613,153,9,42,193,5
1,890,14,3,7,8,5
6,3613,153,9,42,193,5
2,1330,18,2,40,9,0
5,4300,45,5,90,34,0
2,318,3,2,7,0,0
11,4864,88,28,52,61,12
3,69083,352,15,2323,663,43
2,23804,210,33,2600,202,70
2,17033,63,3,965,112,1
4,564,8,4,0,8,0
1,755,6,2,6,3,0
1,1142,5,1,0,6,0
1,0,0,0,0,0,0
2,819,8,3,28,4,1
1,1977,27,6,255,25,1
113,38332,591,196,2323,355,16
169,11406,312,79,139,298,16
52,612224,5603,233,33719,7281,475
6,78749,938,129,775,1038,267
2,434,12,4,0,7,1
14,6693,102,43,80,82,3
2,2456,91,8,9,30,5
81,16592,360,87,382,320,16
2,960,16,6,10,5,0
6,12570,87,17,251,72,11
2,3284,20,2,34,18,2
16,47310,469,29,1069,310,30
45,3564,102,45,9,134,7
3,5170,85,13,354,53,4
5,45693,741,44,2065,526,127
1,648,39,6,0,56,2
3,600,18,5,7,9,1
1,1069,14,1,0,12,1
1,8696,54,6,563,41,3
9,45536,623,25,996,532,33
3,5825,96,12,42,64,30
0,0,0,0,0,0,0
17,24978,477,163,187,402,42
2,10051,149,28,487,108,16
8,13420,302,65,264,392,69
1,8469,97,12,68,145,18
2,837,12,3,42,8,1
1,3420,13,1,604,28,0
4,88984,592,60,4113,695,209
1,350,7,2,17,3,0
1,2096,25,1,21,52,0
4,24780,195,28,522,254,74
4,24780,195,28,522,254,74
2,2357,21,2,35,34,1
3,3811,33,6,172,43,3
1,659,5,1,9,2,0
2,1417,24,5,6,8,0
3,4726,88,23,94,19,22
1,178,5,1,2,3,0
2,3851,120,3,68,239,6
1,2749,21,2,29,24,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
12,797932,3781,51,107352,8715,113
2,0,0,0,0,0,0
6,42785,338,49,185,369,102
1,8695,150,19,66,75,28
22,73187,746,57,921,399,52
2,141293,1355,35,2541,1630,117
2,7557,131,14,81,170,30
4,20198,213,17,585,149,14
2,7933,88,12,171,83,12
3,2664,62,6,33,60,3
2,1185,13,3,14,15,1
22,3194,81,35,28,49,3
30,5170,137,57,25,89,4
2,5358,99,9,28,114,6
2,5674,95,17,46,90,13
1,578,12,1,8,10,0
2,4101,81,8,35,81,5
1,1366,13,2,6,10,0
1,0,0,0,0,0,0
5,862,21,6,13,14,1
2,2267,28,4,62,19,0
2,4051,54,13,192,56,24
8,37780,360,63,747,292,48
10,14363,226,17,44,146,14
1,3103,47,2,17,85,2
7,3931,24,7,167,29,1
2,1037,17,2,9,12,0
3,1367,52,8,1,46,4
3,12184,87,12,178,63,5
4,1192,29,7,4,15,2
3,4460,69,10,248,100,6
1,4330,139,19,20,66,23
1,641,8,2,9,5,0
1,3858,47,5,16,31,6
3,1549,27,10,31,18,0
4,2818,50,15,41,39,1
2,1355,26,2,13,23,2
1,333,8,1,13,4,1
4,4696,94,13,10,54,14
13,71152,466,39,809,705,33
2,60,1,1,0,0,0
3,406,5,1,23,2,0
2,6774,109,6,183,60,18
3,3715,64,5,51,43,4
13,202265,1103,52,3807,1367,145
1,17729,134,23,58,295,16
0,0,0,0,0,0,0
2,565,22,4,10,13,2
4,1744,58,15,25,58,7
15,49328,453,45,1754,362,34
3,4236,63,13,64,26,7
4,1380,31,5,36,8,2
5,18072,320,34,362,207,21
19,49353,710,37,1062,688,31
1,2914,20,1,51,20,0
0,0,0,0,0,0,0
10,4279,69,16,114,44,4
5,4141,67,18,34,37,9
1,5581,11,1,10505,29,0
1,2184,27,2,368,20,0
5,13538,207,13,326,58,25
150,75198,952,145,1721,665,46
2,8725,63,7,81,88,15
0,0,0,0,0,0,0
3,4610,62,7,119,45,5
0,0,0,0,0,0,0
2,12237,145,5,77,145,20
4,16641,133,4,763,126,2
8,19707,181,37,623,141,21
0,0,0,0,0,0,0
1,3496,38,2,113,30,2
0,0,0,0,0,0,0
1,10752,65,4,757,61,5
20,22895,402,101,241,410,38
11,196820,1737,101,25804,2433,157
3,16184,208,7,106,255,8
1,9168,100,6,1000,140,22
5,4429,70,7,93,56,5
1,550,15,4,2,2,1
2,1403,43,6,22,34,4
7,112424,540,36,11010,922,83
2,2216,60,11,26,39,4
1,7532,168,9,279,181,7
2,1611,22,6,13,14,1
57,21769,403,173,169,357,16
4,912,25,9,12,22,0
1,1524,35,2,57,34,1
1,1524,35,2,57,34,1
8,50023,594,18,4290,698,69
5,0,0,0,0,0,0
17,25436,265,43,330,353,16
5,32417,208,17,248,238,11
1,0,0,0,0,0,0
3,2367,45,7,43,14,2
6,45224,417,13,305,398,22
32,87755,863,111,2024,929,62
15,15984,276,15,183,283,3
1,22668,485,2,219,445,1
6,3834,57,7,6,31,1
1,1607,7,1,130,6,1
1,0,0,0,0,0,0
1,480,11,4,1,5,1
1,865,29,6,3,13,11
2,22300,281,5,2743,332,4
1,20221,132,9,744,101,24
2,42,1,1,0,0,0
2,4068,50,7,73,70,0
17,147965,1297,76,3809,1408,96
4,56293,453,75,1591,428,37
2,5430,74,20,37,86,31
1,5887,136,61,52,120,31
12,57010,425,110,758,435,39
0,0,0,0,0,0,0
33,33590,450,89,861,289,52
14,215936,1162,61,3314,838,36
2,13275,211,2,1519,170,2
5,1371,48,17,16,14,1
3,923,15,9,69,10,0
4,6883,74,9,89,82,9
1,829,13,2,2,13,1
14,10985,104,30,337,101,7
0,0,0,0,0,0,0
5,4663,55,16,53,52,3
32,13382,152,40,442,104,24
0,0,0,0,0,0,0
1,2276,9,2,242,10,1
1,201,3,1,0,2,0
2,11244,131,3,361,259,8
8,11551,145,10,154,165,6
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2,15679,107,13,150,173,8
10,53202,359,100,4114,452,111
3,5353,126,20,76,106,12
4,58116,191,13,162,570,6
1,19121,182,4,47,245,2
1,664,9,2,15,7,1
8,25944,509,37,54,473,36
2,1191,28,6,5,8,2
5,40807,233,10,453,313,9
1,1790,23,1,4,33,0
4,14950,271,33,133,110,31
16,272926,2912,45,6203,4265,133
3,1523,41,10,23,34,3
1,690,19,2,5,5,1
1,1581,30,5,31,39,4
16,32006,390,18,720,344,21
8,89005,444,13,3648,798,7
2,33518,456,20,421,295,10
1,1402,17,3,27,7,3
9,5852,86,11,247,52,2
2,819,8,6,10,4,0
2,1000,33,5,22,20,2
1,1595,50,7,2,19,7
1,3247,34,5,142,51,3
1,6337,56,7,994,140,9
30,592544,2711,77,16381,5969,119
1,1391,16,6,21,14,8
2,2447,35,5,221,16,3
3,48063,612,240,150,734,33
1,0,0,0,0,0,0
10,59145,703,70,1010,687,91
5,99142,1437,156,1309,1277,317
6,128760,672,43,4838,1057,102
1,2142,9,1,8,7,1
28,21971,381,119,6421,487,16
23,83479,1222,65,1072,1122,65
2,859,14,3,2,7,1
3,3516,48,4,31,26,2
8,5983,117,27,165,68,10
9,6102,116,14,220,49,7
2,2086,30,2,53,24,2
4,29099,321,20,720,337,22
2,6609,67,3,262,113,1
2,1916,51,5,25,63,4
1,1157,17,4,2,7,9
1,1272,16,2,107,23,3
9,52954,410,16,1860,867,12
62,441955,2906,639,12016,2670,410
62,251325,2148,259,4907,2204,231
3,122025,519,48,2829,1107,28
7,39330,272,23,1779,468,28
73,145278,1815,204,1065,3270,105
25,1008019,3668,291,515504,4478,781
1,10894,499,7,5466,909,14
3,738,21,6,3,10,2
5,2022,55,8,16,50,5
4,1141,37,8,3,21,3
1,2504,74,18,38,55,3
4,1141,37,8,3,21,3
1,92,1,1,1,0,0
2,3684,44,8,77,20,1
1,150,4,3,0,5,0
1,1444,35,1,3,36,2
9,5797,115,19,61,81,8
1,37190,147,9,1259,418,29
2,2711,27,7,16,21,8
18,172026,1516,103,7005,1714,105
3,12837,215,42,87,132,26
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2,4473,41,4,180,89,1
3,2927,66,5,69,42,4
9,10044,146,14,326,181,12
4,18246,241,40,126,100,36
11,14851,236,48,194,133,36
27,73612,927,186,1689,632,117
5,9013,93,33,136,62,13
2,409,4,3,10,4,0
4,8700,84,12,52,52,24
1,2713,23,1,31,29,1
9,56159,383,17,5391,471,13
3,21027,150,13,1519,108,20
1,2181,21,7,581,18,6
7,145484,1506,216,2006,1643,800
8,11223,143,26,250,76,5
2,17294,79,2,312,147,1
0,0,0,0,0,0,0
22,578326,3351,157,17070,5071,476
2,10720,121,6,18,111,6
2,32218,345,14,401,333,34
1,511,4,2,81,3,0
6,7694,134,7,107,137,6
1,10536,40,1,152,60,1
8,23815,277,90,314,282,19
1,6431,21,1,713,36,0
13,30369,171,32,966,204,4
2,1022,13,2,8,12,1
1,223,3,1,3,2,0
4,21790,250,26,130,214,56
0,0,0,0,0,0,0
16,6849,80,24,189,62,3
40,14975,193,54,351,141,10
16,41500,506,24,1198,834,24
5,610,9,5,94,8,0
1,11989,116,9,51,133,17
47,306010,1971,240,26580,1759,164
18,11486,111,21,242,70,3
3,6516,107,28,93,108,12
45,7165,145,53,193,21,1
1058,154358,2319,1085,1059,921,8
401,104108,1925,474,3060,1353,83
1,1604,12,2,4,11,1
1,2682,50,1,20,64,2
20,155109,1369,164,2858,2205,547
4,735,20,8,4,9,0
2,809,17,2,0,20,4
4,42754,320,27,1392,383,36
8,52625,598,76,1426,532,127
3,3247,57,7,48,54,3
1,13534,126,9,1980,163,23
11,8791,246,60,38,248,18
11,36950,543,111,191,377,153
10,18557,318,28,110,208,24
8,33035,179,17,1673,233,30
11,421823,2526,124,9899,3040,475
1,1729,41,12,112,43,16
3,11357,213,19,95,212,31
74,155460,1597,248,2468,1745,114
3,4539,69,6,64,66,4
3,15054,80,9,1311,181,2
1,13498,82,9,617,95,18
74,155460,1597,248,2468,1745,114
2,16203,121,6,142,97,5
1,6424,71,16,161,61,8
1,1088,16,4,80,7,5
6,40536,90,16,5262,182,16
2,422,11,4,4,7,0
2,5810,74,7,63,54,3
17,2252,59,12,93,56,3
17,2252,59,12,93,56,3
2,422,11,4,4,7,0
10,11250,221,16,142,229,8
6,4706,67,14,173,47,2
7,41804,428,44,262,387,27
1,5634,36,3,70,31,2
1,439,5,3,2,5,0
2,3612,65,20,18,32,12
4,2783,85,29,35,54,6
1,7014,48,4,5,56,2
8,35467,506,35,2506,367,63
6,5605,94,7,22,24,4
3,19644,367,11,37,296,16
2,1521,80,10,5,103,2
3,4479,77,5,17,59,6
20,8957,305,38,58,307,33
6,51018,344,32,880,388,38
9,3911,43,11,49,30,1
6,27946,327,31,2164,263,29
8,34413,121,24,54418,148,16
1,373,3,1,0,3,0
1,9434,55,3,221,57,11
1,3677,53,4,143,36,13
2,9147,114,10,116,103,22
2,2115,41,6,24,19,2
6,0,0,0,0,0,0
1,4016,58,4,1539,88,6
1,0,0,0,0,0,0
2,2930,83,7,26,52,2
3,10613,177,5,127,278,9
1,1492,20,1,149,10,0
4,13026,214,28,86,101,30
4,28982,176,12,2217,214,5
7,67692,582,37,1120,703,43
4,13666,87,16,350,103,10
2,1351,27,3,12,30,2
0,0,0,0,0,0,0
2,1087,10,4,378,9,0
4,202241,2884,145,1264,4003,286
2,69386,404,44,11388,375,82
1,11992,91,13,52,106,34
5,23331,200,13,363,225,33
38,162043,1654,107,6872,2315,154
10,13463,134,16,78,71,8
6,27109,205,15,416,296,42
6,5306,42,8,106,48,1
11,55576,1254,237,920,652,222
1,21962,225,7,436,218,27
1,1712,9,1,145,17,0
5,981,23,9,9,17,2
2,2724,60,12,17,53,5
1,332,7,1,2,7,1
16,17313,190,25,682,175,15
1,3782,36,3,993,51,1
1,7007,48,12,959,46,34
1,31605,272,11,88,193,40
4,6420,72,13,64,55,9
2,1863,46,12,16,19,3
2,3569,52,8,72,23,1
7,23199,277,18,1780,360,43
19,1228,24,10,19,25,0
