Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
1,1442,40,5,7,35,3
5,4326,93,10,58,49,6
31,12793,135,36,442,103,6
7,2153,60,7,18,73,2
25,34364,576,97,603,673,28
1,9848,92,6,108,48,15
3,7786,43,7,116,27,2
5,77675,230,8,15528,365,1
2,1992,25,8,12,5,1
1,1025,13,1,32,3,0
4,3157,72,16,41,41,7
2,6188,23,4,368,50,1
2,26314,232,25,456,164,54
3,7121,44,5,142,33,0
1,31972,143,13,446,180,21
1,11339,57,4,59,96,12
1,2271,18,3,71,17,0
1,1057,7,1,179,9,1
4,77269,458,49,1738,660,161
15,45479,216,31,3884,253,9
13,19397,291,57,268,180,40
10,25028,153,26,3186,135,4
3,4624,105,7,150,58,4
1,568,21,1,3,6,0
22,26509,234,49,989,246,10
3,963,23,6,10,19,3
1,9841,142,20,1097,155,18
1,3439,27,5,91,46,7
2,1898,48,9,21,45,5
3,12034,141,12,143,121,16
1,3378,21,1,383,10,0
1,770,7,3,7,3,0
1,1801,10,1,12,5,0
1,227,2,2,0,1,0
1,12422,160,13,27,236,7
6,5631,89,9,127,117,3
3,2117,17,6,603,18,1
2,6410,136,13,30,98,10
1,3920,57,6,27,35,3
1,11070,234,20,115,159,10
1,602,3,1,29,2,0
15,118668,853,59,4701,1038,126
5,8825,190,42,198,100,9
1,0,0,0,0,0,0
1,0,0,0,0,0,0
23,162798,4915,153,9630,9770,269
0,0,0,0,0,0,0
10,14165,116,17,74,133,11
0,0,0,0,0,0,0
9,10230,257,11,546,342,11
5,1465,24,5,25,15,2
1,1915,19,1,20,16,1
1,207,6,1,3,0,0
2,2853,19,6,21,27,5
9,12851,251,31,316,157,28
6,21338,203,15,358,224,8
7,6165,52,7,162,89,0
1,2193,21,2,207,30,0
1,222,34,1,1,89,1
1,650,11,3,1,7,2
4,14251,297,24,135,161,24
1,1077,14,6,16,9,1
15,7640,174,29,45,70,60
2,17426,359,19,90,207,46
0,0,0,0,0,0,0
7,7825,242,18,43,135,17
2,10760,276,20,42,214,21
2,12155,267,16,48,216,49
6,101147,907,60,1626,820,95
2,1001,12,3,174,8,1
7,27853,794,208,275,285,70
4,3605,55,9,217,48,18
1,2545,23,4,855,16,1
3,1936,10,6,25,3,0
4,11642,223,34,140,144,96
1,1112,9,1,18,15,1
6,2444,55,17,12,40,8
